"where","category","typeID","valueID","syntax","format","valueCurrent","dateAdded","dateStopped","valueName","valueDescription","valueConditional","caseSensitive","type","typeDescription","typeCurrent","associatedType","associatedType_leftright","typeExample","typeExample_explained","dateIntroduced","categoryDescription","sorting.from.left","shorthand.unit","connectorDescription"
"c00 count taxon","count",1,1,"blackbird","shorthand","current","","","taxon name","A taxon name, which can be a recognised scientific name (without the taxonomic authority) or a common name, or an abbreviated code.","all","no","taxon name","Taxon names can be full scientific or common names or abbreviated names. All names other than scientific names must be included in your taxon dictionary alongside their corresponding scientific names.","current","","","blkb 1","One blackbird seen.","","Count syntax is of the general form: `taxon state prefixcountsuffix(comment)[environment]`. Usually only `taxon prefixcountsuffix` is needed.",0,"count taxon",""
"c00 count taxon","count",1,1,"blkb","shorthand","current","","","taxon name","A taxon name, which can be a recognised scientific name (without the taxonomic authority) or a common name, or an abbreviated code.","all","no","taxon name","Taxon names can be full scientific or common names or abbreviated names. All names other than scientific names must be included in your taxon dictionary alongside their corresponding scientific names.","current","","","blkb 1","One blackbird seen.","","Count syntax is of the general form: `taxon state prefixcountsuffix(comment)[environment]`. Usually only `taxon prefixcountsuffix` is needed.",0,"count taxon",""
"c00 count taxon","count",1,1,"Turdus merula","shorthand","current","","","taxon name","A taxon name, which can be a recognised scientific name (without the taxonomic authority) or a common name, or an abbreviated code.","all","no","taxon name","Taxon names can be full scientific or common names or abbreviated names. All names other than scientific names must be included in your taxon dictionary alongside their corresponding scientific names.","current","","","blkb 1","One blackbird seen.","","Count syntax is of the general form: `taxon state prefixcountsuffix(comment)[environment]`. Usually only `taxon prefixcountsuffix` is needed.",0,"count taxon",""
"c01 shorthand separator","count",7,33," ","shorthand","current","","","space","a space","all","no","shorthand separator","Count category and roadkill category shorthand are space delimited.","current","","","blkb 1","One blackbird.","","Count syntax is of the general form: `taxon state prefixcountsuffix(comment)[environment]`. Usually only `taxon prefixcountsuffix` is needed.",1,"shorthand separator",""
"c02 count taxon modifier","count",9,35,"?","shorthand","current","","","question mark","When placed after a taxon name, a question mark means that the identification is uncertain. Other plausible taxon IDs should be listed in the comments prefaced by "" or "".","all","no","taxon uncertain added to name","A question mark (?) can be added directly after a taxon name to indicate that this ID is uncertain. This means the same as when ? is placed after a count. In the former case, it applies to all counts on that shorthand line, and so can be a quicker way to enter uncertainty.","current","taxon name","right of","blkb? 1,2 (or thrush)","One blackbird seen, and two blackbirds seen more than 20 m away, seen from the same spot. All could also have been thrushes.","","Count syntax is of the general form: `taxon state prefixcountsuffix(comment)[environment]`. Usually only `taxon prefixcountsuffix` is needed.",2,"count taxon modifier",""
"c02 count taxon modifier","count",9,310,"??","shorthand","current","13/8/2010","","double question mark","It is not only unclear if the identification is correct, but it is also unclear if the observation was of a living organism at all. (This level of uncertainty is most often encountered with roadkill observed from a moving car.)","all","no","taxon uncertain added to name","A question mark (?) can be added directly after a taxon name to indicate that this ID is uncertain. This means the same as when ? is placed after a count. In the former case, it applies to all counts on that shorthand line, and so can be a quicker way to enter uncertainty.","current","taxon name","right of","blkb? 1,2 (or thrush)","One blackbird seen, and two blackbirds seen more than 20 m away, seen from the same spot. All could also have been thrushes.","","Count syntax is of the general form: `taxon state prefixcountsuffix(comment)[environment]`. Usually only `taxon prefixcountsuffix` is needed.",2,"count taxon modifier",""
"c02 count taxon modifier","count",17,60,"knock","shorthand","current","","","knock","The sound of banding from an animals activity nearby (created for woodpeckers).","all","no","non-vocalisation noise","Sometimes I hear sign of an animal nearby but don't see it. For example, the rustle of a blackbird foraging in leaf litter nearby, or the wing whoosh of a kerery flying past, or, when in the USA, the sound of a woodpecker banging on a tree. These are added as modifiers after the taxon name (they don't have codes because they are used infrequently).","current","","","skink rustle 1?","Rustling heard consistent with a skink.","","Count syntax is of the general form: `taxon state prefixcountsuffix(comment)[environment]`. Usually only `taxon prefixcountsuffix` is needed.",2,"count taxon modifier",""
"c02 count taxon modifier","count",17,58,"rustle","shorthand","current","","","rustle","A rustling sound heard consistent with an animals movement in leaves.","all","no","non-vocalisation noise","Sometimes I hear sign of an animal nearby but don't see it. For example, the rustle of a blackbird foraging in leaf litter nearby, or the wing whoosh of a kerery flying past, or, when in the USA, the sound of a woodpecker banging on a tree. These are added as modifiers after the taxon name (they don't have codes because they are used infrequently).","current","","","skink rustle 1?","Rustling heard consistent with a skink.","","Count syntax is of the general form: `taxon state prefixcountsuffix(comment)[environment]`. Usually only `taxon prefixcountsuffix` is needed.",2,"count taxon modifier",""
"c02 count taxon modifier","count",17,59,"wings","shorthand","current","","","wings","The sound of beating wings heard.","all","no","non-vocalisation noise","Sometimes I hear sign of an animal nearby but don't see it. For example, the rustle of a blackbird foraging in leaf litter nearby, or the wing whoosh of a kerery flying past, or, when in the USA, the sound of a woodpecker banging on a tree. These are added as modifiers after the taxon name (they don't have codes because they are used infrequently).","current","","","skink rustle 1?","Rustling heard consistent with a skink.","","Count syntax is of the general form: `taxon state prefixcountsuffix(comment)[environment]`. Usually only `taxon prefixcountsuffix` is needed.",2,"count taxon modifier",""
"c02 count taxon modifier","count",41,200,"field","shorthand","current","","","field","The taxon is present in a field","all","no","in field","When plants are abundant in fields in farmland (for example Brassica as crops or weeds in fields), I record their presence per field, rather than paces. A field is a plot of fenced farmland containing one crop type/land use. The size of a field isn't standardised and so recording in paces is preferred when possible.","current","","","Brassica field lyes","Brassica growing in field on left","","Count syntax is of the general form: `taxon state prefixcountsuffix(comment)[environment]`. Usually only `taxon prefixcountsuffix` is needed.",2,"count taxon modifier",""
